timestamp,TimeMST,TemperatureC,Dew PointC,Humidity,Sea Level PressurehPa,VisibilityKm,Wind Direction,Wind SpeedKm/h,Gust SpeedKm/h,Precipitationmm,Events,Conditions,WindDirDegrees
1/1/2015 0:51,12:51 AM,2.8,-0.6,79,1016,16.1,WNW,9.3,,,,Mostly Cloudy,300
1/1/2015 1:47,1:47 AM,3,-1,75,1016.5,16.1,WNW,5.6,,,,Mostly Cloudy,300
1/1/2015 1:51,1:51 AM,2.8,-0.6,79,1016.9,16.1,WNW,7.4,,,,Mostly Cloudy,300
1/1/2015 2:51,2:51 AM,2.8,-1.1,76,1017.2,16.1,NW,5.6,,,,Scattered Clouds,320
1/1/2015 3:51,3:51 AM,2.2,-0.6,82,1017.5,16.1,ENE,5.6,,,,Partly Cloudy,60
1/1/2015 4:51,4:51 AM,2.2,-1.1,79,1017.9,16.1,ENE,5.6,,,,Partly Cloudy,70
1/1/2015 5:51,5:51 AM,1.7,0,89,1018.2,16.1,East,5.6,,,,Mostly Cloudy,80
1/1/2015 6:51,6:51 AM,2.2,0,86,1019,16.1,East,7.4,,,,Mostly Cloudy,100
1/1/2015 7:51,7:51 AM,2.8,0.6,86,1019.8,16.1,East,7.4,,,,Mostly Cloudy,90
1/1/2015 8:51,8:51 AM,2.8,0,82,1020.4,16.1,Calm,Calm,,,,Mostly Cloudy,0
1/1/2015 9:51,9:51 AM,3.9,0,76,1021,16.1,Calm,Calm,,,,Mostly Cloudy,0
1/1/2015 10:51,10:51 AM,5,-1.1,65,1021.3,16.1,North,9.3,,,,Mostly Cloudy,350
1/1/2015 11:21,11:21 AM,5.6,-1.7,60,1020.5,16.1,Variable,5.6,,,,Mostly Cloudy,0
1/1/2015 11:51,11:51 AM,5.6,-1.7,60,1020.5,16.1,Variable,7.4,,,,Mostly Cloudy,0
1/1/2015 12:04,12:04 PM,5.6,-2.2,58,1020.2,16.1,North,11.1,,,,Mostly Cloudy,360
1/1/2015 12:51,12:51 PM,6.1,-2.2,56,1019.9,16.1,NNW,7.4,,,,Mostly Cloudy,340
1/1/2015 13:51,1:51 PM,6.7,-2.8,51,1019.1,16.1,Calm,Calm,,,,Mostly Cloudy,0
1/1/2015 14:51,2:51 PM,7.2,-3.3,48,1018.5,16.1,NNW,7.4,,,,Mostly Cloudy,340
1/1/2015 15:51,3:51 PM,7.2,-3.3,48,1018.6,16.1,WSW,5.6,,,,Mostly Cloudy,240
1/1/2015 16:51,4:51 PM,7.2,-3.3,48,1018.7,16.1,Calm,Calm,,,,Mostly Cloudy,0
1/1/2015 17:51,5:51 PM,7.2,-2.8,49,1018.9,16.1,Variable,5.6,,,,Mostly Cloudy,0
1/1/2015 18:51,6:51 PM,6.1,-2.2,56,1019.2,16.1,WSW,11.1,,,,Partly Cloudy,240
1/1/2015 19:51,7:51 PM,5,-1.7,62,1019.3,16.1,WSW,9.3,,,,Clear,250
1/1/2015 20:51,8:51 PM,5,-2.2,60,1019.1,16.1,West,7.4,,,,Clear,270
1/1/2015 21:51,9:51 PM,5,-2.8,57,1019,16.1,WNW,11.1,,,,Clear,300
1/1/2015 22:51,10:51 PM,2.8,-1.1,76,1018.6,16.1,SW,5.6,,,,Clear,230
1/1/2015 23:51,11:51 PM,2.2,-1.1,79,1018.5,16.1,WSW,5.6,,,,Clear,240
2/1/2015 0:51,12:51 AM,2.2,-2.2,73,1018.2,16.1,West,9.3,,,,Clear,260
2/1/2015 1:51,1:51 AM,1.7,-2.2,76,1017.9,16.1,Calm,Calm,,,,Clear,0
2/1/2015 2:51,2:51 AM,1.7,-2.2,76,1018,16.1,Calm,Calm,,,,Clear,0
2/1/2015 3:51,3:51 AM,1.1,-2.2,79,1017.5,16.1,Calm,Calm,,,,Clear,0
2/1/2015 4:51,4:51 AM,0.6,-2.2,82,1017.3,16.1,SW,7.4,,,,Clear,220
2/1/2015 5:51,5:51 AM,0,-2.2,85,1017.1,16.1,SW,7.4,,,,Clear,220
2/1/2015 6:51,6:51 AM,0,-2.2,85,1017.5,16.1,Calm,Calm,,,,Clear,0
